p1,p2,p3,p4,q1,q2,q3,q4
1.9173913,0.518274426,1.362069011,0.518436551,9.199999809,16.69000053,4.059999943,13.56000042
1.23666501,0.338380665,0.759149909,0.896072984,19.30999756,47.54999161,8.469999313,25.20999718
2.223595619,0.761841238,1.714285731,0.486710399,8.900000572,14.99000168,4.829999924,28.97000122
3.087452412,0.495952517,1.743961453,0.744223118,2.630000114,18.53000069,4.139999866,12.54999924
0.933585644,0.561726928,1.184735537,0.694077075,52.84999084,82.45999146,11.52999783,34.77999496
2.292452812,0.771493196,1.594827533,0.490850866,7.420000553,4.420000553,1.160000086,21.86000443
2.424345732,0.843393147,1.428571463,0.68777293,8.789999962,12.25999928,0.069999993,9.159998894
1.165983558,0.300000012,0.780821919,0.375515819,19.51999855,2.999999762,0.729999959,7.269999504
2.204968929,0.539212763,2.080402136,0.475511163,20.92999649,33.78999329,3.979999065,21.02999687
1.901242137,0.433510631,1.422652006,0.771309733,16.1000042,26.32000542,3.620000839,28.86000633
1.237523079,0.720000029,0.358024687,0.609641373,21.63999939,12.24999905,4.859999657,17.00999832
1.180212021,0.287096769,2.583333254,0.368312776,5.659999847,15.5,1.559999943,9.719999313
2.128142834,0.500391543,0.636633694,0.350602716,24.65999985,63.84999847,30.29999924,77.98000336
1.691300273,0.353716135,1.476839185,0.369475543,21.37999725,40.22999573,7.339999199,50.90999603
1.070484638,0.404341906,0.876288652,0.295090169,9.07999897,14.73999882,2.909999847,19.95999908
1.871621609,0.688000023,2.751351357,0.848595858,5.920000076,10.00000095,1.850000024,8.190001488
2.653333426,1.115294099,2.666666508,0.849442363,4.500000477,4.25,0.870000064,5.380000591
1.726045847,0.398548961,1.695652127,0.30673641,14.81999874,41.34999847,1.380000114,15.28999996
2.319559097,0.435319781,1.737500072,0.650557637,7.259999275,13.75999832,1.599999785,8.069999695
1.957055211,0.583566785,2.689655304,0.501577258,1.629999995,10.71000004,0.289999992,3.170000076
2.135232449,0.630060613,1.590686202,0.818430007,33.34999847,41.25,4.079999924,14.64999866
3.6083498,0.750930905,2.083720922,0.674574196,5.029999256,24.16999817,2.149999857,16.44000053
1.119447827,0.345897436,1.146511555,0.470864147,16.65999794,38.99999237,12.89999771,70.35998535
1.083129644,0.568786979,2.627659559,0.495252371,4.089999676,13.5199995,0.939999938,20.00999832
1.00298214,0.612015009,2.099378824,0.260632485,10.05999947,7.989999771,1.610000014,9.170000076
1.567164183,0.671143234,2.5,1.823412657,35.51000595,29.04000664,0.600000083,5.040000916
0.93650794,0.405555546,0.420168072,0.657616854,9.449999809,12.60000038,1.189999938,6.630000114
1.83488369,0.591858327,1.960451961,0.475989908,17.19999886,37.82999802,5.309999466,23.73999596
1.803797483,1.138364792,0.861111104,0.472006232,3.160000324,3.180000544,0.720000088,12.86000061
0.91657871,0.704268277,0.453571439,0.86017698,18.94000244,13.12000084,5.600000381,16.95000076
2.460992813,0.5657143,2.474074125,0.446932375,7.050000191,14,1.350000024,22.32999992
0.867201388,0.587112188,1.472440958,0.513157904,11.22000027,8.380000114,1.269999981,0.75999999
1.496634245,0.511348069,2.092050314,0.553723991,13.37000179,36.57000351,9.560002327,83.11000824
1.157598495,0.998207867,2.065217257,0.88026607,5.329999447,5.579999447,0.919999897,9.01999855
0.983606577,0.761904776,0.968888938,0.29407236,0.610000074,9.659999847,2.25,12.99000263
1.237599969,0.473180085,2.144859791,0.37577197,12.5,15.65999985,4.28000021,21.04999924
1.241152287,0.235575572,0.747826099,0.322256088,24.29999733,35.52999496,5.749999523,32.79999542
1.785887122,0.603464842,0.63820225,0.572307706,24.79999733,10.38999939,4.449999332,3.249999762
1.349726796,0.518135504,0.783333302,0.375,3.660000086,0,0.600000024,12.31999969
1.236566186,0.306290925,1.172018409,0.280433893,15.26000023,35.13000488,4.360000134,24.88999939
1.371768355,0.34661147,0.558282197,0.484466851,19.33999634,38.65999222,11.40999794,35.72999191
1.359788299,0.614358544,1.49333334,0.845288336,9.449999809,25.48999977,1.5,14.21999931
1.716992497,0.350707859,1.881481528,0.47758007,33.24999619,15.53999805,2.699999571,14.04999828
1.623417735,0.337662339,1.75999999,0.470817119,3.159999609,1.539999723,0.49999997,7.709999561
0.914702594,0.677966118,0.357394367,0.639860094,17.81999969,9.439998627,5.679999352,5.71999979
2.592391253,0.442331135,1.77655673,0.415538549,3.67999959,41.00999451,5.459999561,33.97999573
0.507668734,0.255371094,2.869230747,0.383187771,6.519999981,20.47999954,1.299999952,9.159999847
1.467196822,0.326638311,1.193421006,0.602845728,20.11999702,68.20999146,7.599999428,40.05999756
1.842377305,0.536429167,1.966666698,0.335538179,7.739998817,12.48999882,0.299999982,16.62999916
4.8629632,0.717741907,1.153846145,1.997496843,5.400000095,12.39999962,0.25999999,7.990000248
1.853826284,0.300952375,1.142857075,0.57208997,11.62999916,20.99999809,3.569999695,15.11999893
1.977272749,0.67175144,2.247058868,0.612368047,1.319999933,17.70000076,0.850000024,6.630000114
3.253703594,0.501766801,1.800000072,0.375304639,10.79999924,16.97999954,0.099999994,24.61999702
1.02409637,0.50074625,1.856209159,0.655789495,9.130001068,13.40000057,1.529999971,19.00000191
0.94262296,0.351691037,0.726368129,0.380525678,12.19999981,43.75999451,4.019999504,33.47999573
2.09574461,0.521019101,1.839506269,0.689252317,4.699999332,7.849999428,0.809999943,4.279999733
3.172727346,0.380709529,1.669789195,0.552619815,14.30000019,45.10000229,4.269999981,44.65999985
1.673539519,0.528354645,1.088560939,0.58207345,11.64000034,25.04000092,2.710000038,27.77999878
2.30513382,0.539408863,1.634453654,1.747912288,13.82999897,24.3599968,2.379999876,19.15999794
2.138339996,0.65127784,1.573333263,0.759200811,2.53000021,12.13000107,0.75000006,9.510001183
1.202839732,0.424109101,0.870841503,0.648269415,9.859999657,22.72999763,5.109999657,32.06999588
1.267605662,0.504631341,1.103271961,0.441661179,21.29999542,26.98999786,9.779998779,60.67999649
2.318125725,1.076923132,1.539622664,0.3738859,8.109998703,1.559999824,2.649999857,22.43999863
2.149008751,0.681367159,1.252631664,0.522639036,14.63000107,9.069999695,1.900000334,7.730000973
1.581818223,0.683012247,0.790000021,1.645348787,3.849999905,5.710000038,1,3.439999819
1.302908778,0.595410645,1.972549081,0.544159532,9.969999313,33.11999893,2.549999714,21.05999756
1.193548441,0.495838821,1.144373655,0.932471275,17.36000061,22.82999992,4.710000038,13.92000008
1.774857163,0.566855013,2.856164455,0.500738561,8.75,10.61999989,1.460000038,13.53999996
1.439153433,0.767641962,0.770370305,0.425777763,7.559999466,11.61999989,1.350000024,33.75
2.404157162,0.434094906,2.451690912,0.456146479,4.329999924,17.06999969,8.279999733,57.34999847
1.938640118,0.643407881,2.042301178,0.250046551,12.06000042,25.94000244,5.910000801,53.71000671
1.526956558,0.586692274,1.916666746,0.424785107,5.75,15.63000011,0.600000024,13.96000004
1.952766538,0.567685604,0.53776437,0.445366889,22.22999573,29.76999474,6.619998455,37.33999252
1.68428576,0.269965261,1.440154433,0.27654025,7,11.5199995,2.590000153,49.83000183
1.340699077,0.43991518,1.794573665,0.771177351,24.8900013,42.43999863,5.159999847,46.63000107
2.341059685,0.456410259,1.299999952,0.480721891,6.039999962,3.900000334,0.200000003,12.18999958
1.818548441,0.852512121,2.117647171,1.090909123,2.480000019,6.170000076,0.170000002,0.109999999
0.878853023,0.425855517,1.622137427,0.519855618,13.95000172,7.890000343,5.240000248,22.16000366
0.952681363,0.323630154,1.677083373,0.387227595,6.340000153,5.840000153,0.960000038,19.72999954
0.951983273,0.491951704,1.020618558,0.331257761,4.790000439,9.940000534,0.970000148,8.030000687
