,salesprice,calcacres,ENGMeanScaleScore15,median_income,age,totbath,rmtot,rmbed,fixtot,fixhalf,fixaddl,fourthquart,pct_renter_occupied,pct_above_f,pct_below_f,MATHMeanScaleScore15,pct_HSdiploma,log_median_income,sqft,lon,plon,lat,plat,pct_white,pct_black,pct_collegeDegree,median_house_value,HHsize,tract_cover,total_crime_house
71,400000,0.1366,542.4191419,160500,58,2,5,3,8,0,2,0,12.21719457,0,1,555.5377049,97.19853837,11.98604922,2702,-84.35569192,0,33.79278765,0,93.4318555,1.888341544,90.13398295,629300,2.76,29.07426173,0.059317845
72,1400000,0.5318,542.4191419,111140,65,2,8,4,12,0,6,0,17.25601132,1,0,555.5377049,100,11.61854595,4467,-84.35364651,0,33.80054621,0,93.17470257,0.563556669,80.98891731,664100,2.26,29.07426173,0.059317845
73,530000,0.1629,542.4191419,131389,86,2,10,5,8,0,2,1,28.31632653,0,1,555.5377049,99.57924264,11.78591767,3500,-84.35430259,0,33.79002162,0,98.72881356,1.101694915,83.45021038,623800,2.96,29.07426173,0.059317845
74,1400000,0.4488,542.4191419,111140,65,4.5,10,5,20,1,6,0,17.25601132,1,0,555.5377049,100,11.61854595,4467,-84.354906,0,33.7993823,0,93.17470257,0.563556669,80.98891731,664100,2.26,29.07426173,0.063766683
75,2091680,0.45,542.4191419,160500,80,4,8,3,19,2,6,1,12.21719457,1,0,555.5377049,97.19853837,11.98604922,4378,-84.35518247,0,33.79839442,0,93.4318555,1.888341544,90.13398295,629300,2.76,29.07426173,0.063766683
76,757000,0.2251,542.4191419,160500,78,2.5,7,3,12,1,4,0,12.21719457,1,0,555.5377049,97.19853837,11.98604922,2213,-84.35717103,0,33.79688885,0,93.4318555,1.888341544,90.13398295,629300,2.76,29.07426173,0.059317845
77,572500,0.1761,542.4191419,160500,90,2,6,3,8,0,2,0,12.21719457,0,1,555.5377049,97.19853837,11.98604922,1724,-84.35225565,0,33.79449107,0,93.4318555,1.888341544,90.13398295,629300,2.76,29.07426173,0.063766683
78,585000,0.4211,542.4191419,111140,57,2,6,3,8,0,2,0,17.25601132,0,1,555.5377049,100,11.61854595,2337,-84.36300402,0,33.80785626,0,93.17470257,0.563556669,80.98891731,664100,2.26,29.07426173,0.063766683
79,1525000,0.1894,542.4191419,131389,86,1,6,3,5,0,2,0,28.31632653,1,0,555.5377049,99.57924264,11.78591767,3690,-84.34986033,0,33.79070768,0,98.72881356,1.101694915,83.45021038,623800,2.96,29.07426173,0.059317845
80,603000,0.4821,542.4191419,111140,85,2,9,5,12,0,6,0,17.25601132,0,1,555.5377049,100,11.61854595,2828,-84.36257943,0,33.80050868,0,93.17470257,0.563556669,80.98891731,664100,2.26,29.07426173,0.063766683
81,575000,0.2581,542.4191419,131389,90,2,7,3,8,0,2,0,28.31632653,0,1,555.5377049,99.57924264,11.78591767,1550,-84.35114894,0,33.79162714,0,98.72881356,1.101694915,83.45021038,623800,2.96,29.07426173,0.063766683
82,380000,0.2693,542.4191419,111140,76,2,5,2,8,0,2,0,17.25601132,0,1,555.5377049,100,11.61854595,3700,-84.36362423,0,33.80766888,0,93.17470257,0.563556669,80.98891731,664100,2.26,29.07426173,0.059317845
83,947580,0.353,542.4191419,160500,86,2.5,9,4,16,1,8,0,12.21719457,1,0,555.5377049,97.19853837,11.98604922,3438,-84.35652655,0,33.79767946,0,93.4318555,1.888341544,90.13398295,629300,2.76,29.07426173,0.059317845
84,1381850,0.3798,542.4191419,160500,96,5,12,6,20,2,4,0,12.21719457,1,0,555.5377049,97.19853837,11.98604922,4274,-84.35508988,0,33.79770223,0,93.4318555,1.888341544,90.13398295,629300,2.76,29.07426173,0.059317845
85,772000,0.1656,542.4191419,160500,81,3,9,3,15,0,6,1,12.21719457,1,0,555.5377049,97.19853837,11.98604922,2506,-84.35087696,0,33.79383461,0,93.4318555,1.888341544,90.13398295,629300,2.76,29.07426173,0.059317845
86,683100,0.239,542.4191419,160500,86,3,7,3,11,0,2,0,12.21719457,1,0,555.5377049,97.19853837,11.98604922,2192,-84.34889257,0,33.79782848,0,93.4318555,1.888341544,90.13398295,629300,2.76,29.07426173,0.059317845
87,590000,0.6772,542.4191419,111140,66,2,5,2,8,0,2,0,17.25601132,0,1,555.5377049,100,11.61854595,2569,-84.35106584,0,33.80728937,0,93.17470257,0.563556669,80.98891731,664100,2.26,29.07426173,0.059317845
88,635000,0.3323,542.4191419,111140,63,1.5,6,2,7,1,2,0,17.25601132,0,0,555.5377049,100,11.61854595,1921,-84.36053623,0,33.8084764,0,93.17470257,0.563556669,80.98891731,664100,2.26,29.07426173,0.059317845
89,660000,0.4327,542.4191419,111140,64,2,6,3,8,0,2,0,17.25601132,0,0,555.5377049,100,11.61854595,2581,-84.35133882,0,33.80956912,0,93.17470257,0.563556669,80.98891731,664100,2.26,29.07426173,0.059317845
90,1273000,0.1894,542.4191419,156150,12,5.5,10,5,23,1,6,0,19.04761905,1,0,555.5377049,94.17293233,11.95857236,5296,-84.34949499,0,33.78713412,0,82.56997455,4.580152672,86.84210526,533700,2.5,29.07426173,0.059317845
91,415000,0.6026,542.4191419,111140,56,1,5,2,5,0,2,0,17.25601132,0,1,555.5377049,100,11.61854595,10000,-84.36392554,0,33.80570503,0,93.17470257,0.563556669,80.98891731,664100,2.26,29.07426173,0.059317845
92,1050000,0.4362,542.4191419,111140,29,3.5,10,3,13,1,2,0,17.25601132,1,0,555.5377049,100,11.61854595,4256,-84.35559337,0,33.80318058,0,93.17470257,0.563556669,80.98891731,664100,2.26,29.07426173,0.063766683
93,761500,0.2101,542.4191419,111140,29,2.5,8,4,12,1,4,0,17.25601132,1,0,555.5377049,100,11.61854595,2982,-84.36120259,0,33.80704469,0,93.17470257,0.563556669,80.98891731,664100,2.26,29.07426173,0.059317845
94,600000,0.6189,542.4191419,111140,63,2,6,3,8,0,2,1,17.25601132,0,1,555.5377049,100,11.61854595,2640,-84.35128351,0,33.80570707,0,93.17470257,0.563556669,80.98891731,664100,2.26,29.07426173,0.063766683
95,1120000,0.2771,542.4191419,111140,85,2,8,4,12,0,6,0,17.25601132,1,0,555.5377049,100,11.61854595,4588,-84.36499503,0,33.80338484,0,93.17470257,0.563556669,80.98891731,664100,2.26,29.07426173,0.063766683
96,1045000,0.4068,542.4191419,111140,4,3.5,8,4,19,1,8,0,17.25601132,1,0,555.5377049,100,11.61854595,4924,-84.36223469,0,33.80745418,0,93.17470257,0.563556669,80.98891731,664100,2.26,29.07426173,0.059317845
97,654000,0.1997,542.4191419,156150,82,2,7,3,10,0,4,0,19.04761905,1,0,555.5377049,94.17293233,11.95857236,2203,-84.35285016,0,33.78574243,0,82.56997455,4.580152672,86.84210526,533700,2.5,29.07426173,0.059317845
98,516000,0.4304,542.4191419,111140,61,1.5,6,3,7,1,2,1,17.25601132,0,1,555.5377049,100,11.61854595,1761,-84.3605813,0,33.80559019,0,93.17470257,0.563556669,80.98891731,664100,2.26,29.07426173,0.063766683
99,610000,0.8393,542.4191419,111140,56,1.5,6,3,7,1,2,0,17.25601132,0,1,555.5377049,100,11.61854595,1539,-84.35926861,0,33.80790082,0,93.17470257,0.563556669,80.98891731,664100,2.26,29.07426173,0.063766683
100,670000,0.2273,542.4191419,160500,76,2.5,7,3,10,1,2,0,12.21719457,1,0,555.5377049,97.19853837,11.98604922,2232,-84.35059307,0,33.79647616,0,93.4318555,1.888341544,90.13398295,629300,2.76,29.07426173,0.059317845
101,592000,0.1707,542.4191419,160500,96,1,7,3,5,0,2,0,12.21719457,0,1,555.5377049,97.19853837,11.98604922,1504,-84.35467917,0,33.79354124,0,93.4318555,1.888341544,90.13398295,629300,2.76,29.07426173,0.059317845
102,1637000,0.4017,542.4191419,131389,10,5,9,5,22,2,6,0,28.31632653,1,0,555.5377049,99.57924264,11.78591767,5737,-84.35335987,0,33.78938955,0,98.72881356,1.101694915,83.45021038,623800,2.96,29.07426173,0.059317845
103,1085000,0.4419,542.4191419,160500,85,2.5,7,3,10,1,2,1,12.21719457,1,0,555.5377049,97.19853837,11.98604922,3147,-84.35786536,0,33.79850383,0,93.4318555,1.888341544,90.13398295,629300,2.76,29.07426173,0.063766683
104,580000,0.1607,542.4191419,131389,86,2,9,4,9,0,3,1,28.31632653,0,1,555.5377049,99.57924264,11.78591767,2415,-84.3511021,0,33.78897151,0,98.72881356,1.101694915,83.45021038,623800,2.96,29.07426173,0.059317845
105,697000,0.1492,542.4191419,111140,86,2,7,3,6,0,0,0,17.25601132,0,0,555.5377049,100,11.61854595,2268,-84.36325142,0,33.8019046,0,93.17470257,0.563556669,80.98891731,664100,2.26,29.07426173,0.059317845
106,575000,0.25,542.4191419,160500,76,4,9,4,15,0,3,0,12.21719457,0,1,555.5377049,97.19853837,11.98604922,2461,-84.34898082,0,33.79770131,0,93.4318555,1.888341544,90.13398295,629300,2.76,29.07426173,0.063766683
107,735000,0.2194,542.4191419,131389,88,2.5,8,4,13,1,5,0,28.31632653,1,0,555.5377049,99.57924264,11.78591767,2000,-84.35311154,0,33.7878727,0,98.72881356,1.101694915,83.45021038,623800,2.96,29.07426173,0.059317845
108,632000,0.1205,542.4191419,156150,81,2,5,2,8,0,2,1,19.04761905,1,0,555.5377049,94.17293233,11.95857236,1469,-84.35407652,0,33.78422608,0,82.56997455,4.580152672,86.84210526,533700,2.5,29.07426173,0.059317845
109,1450000,0.2121,542.4191419,131389,85,2,10,4,8,0,2,0,28.31632653,1,0,555.5377049,99.57924264,11.78591767,5974,-84.35013155,0,33.79095548,0,98.72881356,1.101694915,83.45021038,623800,2.96,29.07426173,0.063766683
